unique_key,created_date,agency,agency_name,complaint_type,descriptor,incident_zip,intersection_street_1,intersection_street_2,address_type,city,facility_type,status,resolution_description,resolution_action_updated_date,community_board,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,:@computed_region_efsh_h5xi,:@computed_region_f5dn_yrer,:@computed_region_yeji_bk3q,:@computed_region_92fq_4b7q,:@computed_region_sbqj_enih,:@computed_region_7mpf_4k6g,incident_address,street_name,cross_street_1,cross_street_2,bbl,location_type,landmark,vehicle_type,closed_date,due_date,taxi_company_borough,taxi_pick_up_location,bridge_highway_name,bridge_highway_direction,road_ramp,bridge_highway_segment
61272103,2024-05-27T00:50:17.000,NYPD,New York City Police Department,Blocked Driveway,No Access,10040.0,WEST  190 STREET,FAIRVIEW AVENUE,ADDRESS,NEW YORK,,In Progress,,2024-05-27T02:10:24.000,12 MANHATTAN,MANHATTAN,1003203.0,251150.0,PHONE,Unspecified,MANHATTAN,40.85600325363365,-73.93148658404868,"{'latitude': '40.85600325363365', 'longitude': '-73.93148658404868', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",13098.0,47.0,4.0,39.0,22.0,22.0,49 WADSWORTH TERRACE,WADSWORTH TERRACE,WEST  190 STREET,FAIRVIEW AVENUE,1021700368.0,Street/Sidewalk,WADSWORTH TERRACE,,,,,,,,,
61279594,2024-05-27T00:50:02.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,10456.0,EAST  167 STREET,EAST  168 STREET,ADDRESS,BRONX,,In Progress,,2024-05-27T01:13:10.000,03 BRONX,BRONX,1010573.0,241714.0,ONLINE,Unspecified,BRONX,40.83008531217519,-73.90488174394737,"{'latitude': '40.83008531217519', 'longitude': '-73.90488174394737', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",10934.0,34.0,5.0,42.0,25.0,25.0,1199 FULTON AVENUE,FULTON AVENUE,EAST  167 STREET,EAST  168 STREET,2026090037.0,Street/Sidewalk,FULTON AVENUE,,,,,,,,,
61278420,2024-05-27T00:50:01.000,DOT,Department of Transportation,Street Condition,Pothole,11373.0,,,BLOCKFACE,QUEENS,N/A,Open,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,2024-05-27T00:50:01.000,04 QUEENS,QUEENS,,,UNKNOWN,Unspecified,QUEENS,,,,,,,,,,82 STREET,82 STREET,ITHACA STREET,NYCTA SUBWAY,,,,,,,,,,,,
61279581,2024-05-27T00:49:51.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,10002.0,DELANCEY STREET,RIVINGTON STREET,ADDRESS,NEW YORK,,In Progress,,2024-05-27T01:20:08.000,03 MANHATTAN,MANHATTAN,986373.0,201982.0,ONLINE,Unspecified,MANHATTAN,40.72107039661541,-73.99234108175814,"{'latitude': '40.72107039661541', 'longitude': '-73.99234108175814', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11723.0,70.0,4.0,32.0,2.0,2.0,177 CHRYSTIE STREET,CHRYSTIE STREET,DELANCEY STREET,RIVINGTON STREET,1004250026.0,Club/Bar/Restaurant,CHRYSTIE STREET,,,,,,,,,
61275399,2024-05-27T00:49:44.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,11434.0,126 AVENUE,127 AVENUE,ADDRESS,JAMAICA,,In Progress,,2024-05-27T01:39:34.000,12 QUEENS,QUEENS,1049134.0,187787.0,PHONE,Unspecified,QUEENS,40.68187089534303,-73.7660623046722,"{'latitude': '40.68187089534303', 'longitude': '-73.7660623046722', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",24669.0,41.0,3.0,6.0,71.0,71.0,126-19 MERRICK BOULEVARD,MERRICK BOULEVARD,126 AVENUE,127 AVENUE,4124860001.0,Club/Bar/Restaurant,MERRICK BOULEVARD,,,,,,,,,
61276422,2024-05-27T00:49:37.000,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,10461.0,VAN NEST AVENUE,MORRIS PARK AVENUE,ADDRESS,BRONX,,In Progress,,2024-05-27T01:30:14.000,11 BRONX,BRONX,1024647.0,248250.0,PHONE,Unspecified,BRONX,40.84797154812456,-73.85398600354914,"{'latitude': '40.84797154812456', 'longitude': '-73.85398600354914', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11270.0,59.0,5.0,12.0,32.0,32.0,1728 HONE AVENUE,HONE AVENUE,VAN NEST AVENUE,MORRIS PARK AVENUE,2041040037.0,Street/Sidewalk,HONE AVENUE,SUV,,,,,,,,
61275413,2024-05-27T00:49:34.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,10451.0,EAST  149 STREET,RIVER AVENUE,INTERSECTION,,,In Progress,,2024-05-27T00:56:03.000,01 BRONX,BRONX,1003538.0,237784.0,PHONE,Unspecified,BRONX,40.819316747147425,-73.93031402663465,"{'latitude': '40.819316747147425', 'longitude': '-73.93031402663465', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",10929.0,50.0,5.0,35.0,27.0,27.0,EAST  149 STREET,EAST  149 STREET,EAST  149 STREET,RIVER AVENUE,,Street/Sidewalk,,,,,,,,,,
61274269,2024-05-27T00:49:17.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,10462.0,HUNT AVENUE,HOLLAND AVENUE,ADDRESS,BRONX,,In Progress,,2024-05-27T01:29:56.000,11 BRONX,BRONX,1021814.0,246814.0,PHONE,Unspecified,BRONX,40.844042661763986,-73.86423384223299,"{'latitude': '40.844042661763986', 'longitude': '-73.86423384223299', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11271.0,59.0,5.0,12.0,32.0,32.0,736 VAN NEST AVENUE,VAN NEST AVENUE,HUNT AVENUE,HOLLAND AVENUE,2040380006.0,Residential Building/House,VAN NEST AVENUE,,,,,,,,,
61279582,2024-05-27T00:49:07.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,10305.0,WALLACE AVENUE,MILLS AVENUE,ADDRESS,STATEN ISLAND,,In Progress,,2024-05-27T01:02:13.000,02 STATEN ISLAND,STATEN ISLAND,965134.0,156878.0,MOBILE,Unspecified,STATEN ISLAND,40.59724950215201,-74.06883485383008,"{'latitude': '40.59724950215201', 'longitude': '-74.06883485383008', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",10692.0,30.0,1.0,14.0,76.0,76.0,200 MCCLEAN AVENUE,MCCLEAN AVENUE,WALLACE AVENUE,MILLS AVENUE,5031120015.0,Store/Commercial,MC CLEAN AVENUE,,,,,,,,,
61273227,2024-05-27T00:49:03.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,10470.0,EAST  241 STREET,EAST  242 STREET,ADDRESS,BRONX,,In Progress,,2024-05-27T02:02:30.000,12 BRONX,BRONX,1024827.0,269230.0,MOBILE,Unspecified,BRONX,40.90555425785195,-73.85320832363475,"{'latitude': '40.90555425785195', 'longitude': '-73.85320832363475', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11608.0,29.0,5.0,40.0,30.0,30.0,4724 BRONX BOULEVARD,BRONX BOULEVARD,EAST  241 STREET,EAST  242 STREET,2051030020.0,Residential Building/House,BRONX BOULEVARD,,,,,,,,,
61273298,2024-05-27T00:48:48.000,DHS,Department of Homeless Services,Homeless Person Assistance,Non-Chronic,10007.0,GREENWICH STREET,WEST STREET,ADDRESS,NEW YORK,,Assigned,The Department of Homeless Services has sent a mobile outreach response team to the location.,2024-05-27T00:54:04.000,01 MANHATTAN,MANHATTAN,981011.0,200079.0,MOBILE,Unspecified,MANHATTAN,40.715846780765375,-74.01168407538347,"{'latitude': '40.715846780765375', 'longitude': '-74.01168407538347', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11728.0,56.0,4.0,32.0,1.0,1.0,97 WARREN STREET,WARREN STREET,GREENWICH STREET,WEST STREET,1001427501.0,Street/Sidewalk,WARREN STREET,,,,,,,,,
61278535,2024-05-27T00:48:34.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,11211.0,ROEBLING STREET,WILLIAMSBURG BRG EN S    4 ST,ADDRESS,BROOKLYN,,In Progress,,2024-05-27T01:06:48.000,01 BROOKLYN,BROOKLYN,995601.0,198119.0,ONLINE,Unspecified,BROOKLYN,40.71046035972977,-73.95905673760576,"{'latitude': '40.71046035972977', 'longitude': '-73.95905673760576', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",17613.0,36.0,2.0,30.0,56.0,56.0,231 SOUTH    4 STREET,SOUTH    4 STREET,ROEBLING STREET,WILLIAMSBURG BRG EN S    4 ST,3024330033.0,Club/Bar/Restaurant,SOUTH    4 STREET,,,,,,,,,
61278551,2024-05-27T00:48:33.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,10462.0,BUCK STREET,FULLER STREET,ADDRESS,BRONX,,In Progress,,2024-05-27T01:01:05.000,10 BRONX,BRONX,1025198.0,245512.0,MOBILE,Unspecified,BRONX,40.84045401336844,-73.85201115016729,"{'latitude': '40.84045401336844', 'longitude': '-73.85201115016729', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11271.0,43.0,5.0,31.0,28.0,28.0,1727 ZEREGA AVENUE,ZEREGA AVENUE,BUCK STREET,FULLER STREET,2039910057.0,Street/Sidewalk,ZEREGA AVENUE,,,,,,,,,
61273195,2024-05-27T00:48:21.000,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Traffic,10032.0,BROADWAY,FORT WASHINGTON AVENUE,ADDRESS,NEW YORK,,In Progress,,2024-05-27T01:05:03.000,12 MANHATTAN,MANHATTAN,1000929.0,246864.0,MOBILE,Unspecified,MANHATTAN,40.84424404365834,-73.93971755210634,"{'latitude': '40.84424404365834', 'longitude': '-73.93971755210634', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",13090.0,47.0,4.0,39.0,21.0,21.0,647 WEST  172 STREET,WEST  172 STREET,BROADWAY,FORT WASHINGTON AVENUE,1021420095.0,Street/Sidewalk,WEST  172 STREET,Car,,,,,,,,
61277499,2024-05-27T00:48:00.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,11377.0,32 AVENUE,BROADWAY,ADDRESS,WOODSIDE,,In Progress,,2024-05-27T01:11:33.000,01 QUEENS,QUEENS,1009777.0,214266.0,PHONE,Unspecified,QUEENS,40.75475034064086,-73.9078624149826,"{'latitude': '40.75475034064086', 'longitude': '-73.9078624149826', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14787.0,39.0,3.0,33.0,72.0,72.0,32-17 53 PLACE,53 PLACE,32 AVENUE,BROADWAY,4011550072.0,Residential Building/House,53 PLACE,,,,,,,,,
61277508,2024-05-27T00:47:59.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,11101.0,40 AVENUE,41 AVENUE,ADDRESS,LONG ISLAND CITY,,In Progress,,2024-05-27T01:15:43.000,01 QUEENS,QUEENS,999656.0,215013.0,PHONE,Unspecified,QUEENS,40.756824091980754,-73.94439159869358,"{'latitude': '40.756824091980754', 'longitude': '-73.94439159869358', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",16858.0,39.0,3.0,33.0,72.0,72.0,40-03 10 STREET,10 STREET,40 AVENUE,41 AVENUE,4004700100.0,Street/Sidewalk,10 STREET,,,,,,,,,
61279593,2024-05-27T00:47:57.000,NYPD,New York City Police Department,Noise - Residential,Loud Talking,11216.0,NOSTRAND AVENUE,NEW YORK AVENUE,ADDRESS,BROOKLYN,,In Progress,,2024-05-27T01:17:13.000,08 BROOKLYN,BROOKLYN,998409.0,184273.0,ONLINE,Unspecified,BROOKLYN,40.672452243053584,-73.94895733437518,"{'latitude': '40.672452243053584', 'longitude': '-73.94895733437518', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",17618.0,16.0,2.0,48.0,49.0,49.0,894 STERLING PLACE,STERLING PLACE,NOSTRAND AVENUE,NEW YORK AVENUE,3012480025.0,Residential Building/House,STERLING PLACE,,,,,,,,,
61273133,2024-05-27T00:47:56.000,NYPD,New York City Police Department,Blocked Driveway,No Access,11219.0,12 AVENUE,13 AVENUE,ADDRESS,BROOKLYN,,In Progress,,2024-05-27T01:15:38.000,12 BROOKLYN,BROOKLYN,987088.0,172108.0,MOBILE,Unspecified,BROOKLYN,40.63907284967489,-73.98977423438741,"{'latitude': '40.63907284967489', 'longitude': '-73.98977423438741', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",17621.0,2.0,2.0,27.0,39.0,39.0,1246 43 STREET,43 STREET,12 AVENUE,13 AVENUE,3056040022.0,Street/Sidewalk,43 STREET,,,,,,,,,
61279601,2024-05-27T00:47:49.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,10468.0,WEST KINGSBRIDGE ROAD,WEST  195 STREET,ADDRESS,BRONX,,In Progress,,2024-05-27T01:35:39.000,08 BRONX,BRONX,1011018.0,256242.0,MOBILE,Unspecified,BRONX,40.86995901095286,-73.90321573338507,"{'latitude': '40.86995901095286', 'longitude': '-73.90321573338507', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11606.0,48.0,5.0,29.0,33.0,33.0,2701 SEDGWICK AVENUE,SEDGWICK AVENUE,WEST KINGSBRIDGE ROAD,WEST  195 STREET,2032530001.0,Street/Sidewalk,SEDGWICK AVENUE,,,,,,,,,
61274295,2024-05-27T00:47:41.000,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,10457.0,GRAND CONCOURSE,ANTHONY AVENUE,ADDRESS,BRONX,,In Progress,,2024-05-27T01:04:23.000,05 BRONX,BRONX,1010944.0,249049.0,ONLINE,Unspecified,BRONX,40.850216625296014,-73.90351193996479,"{'latitude': '40.850216625296014', 'longitude': '-73.90351193996479', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",10935.0,6.0,5.0,22.0,29.0,29.0,273 EAST  178 STREET,EAST  178 STREET,GRAND CONCOURSE,ANTHONY AVENUE,,Street/Sidewalk,EAST  178 STREET,Car,,,,,,,,
61278514,2024-05-27T00:47:24.000,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,11208.0,ETNA STREET,RIDGEWOOD AVENUE,ADDRESS,BROOKLYN,,In Progress,,2024-05-27T01:20:26.000,05 BROOKLYN,BROOKLYN,1018310.0,188775.0,MOBILE,Unspecified,BROOKLYN,40.68475500438785,-73.87719228682688,"{'latitude': '40.68475500438785', 'longitude': '-73.87719228682688', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",17215.0,45.0,2.0,37.0,47.0,47.0,115 RICHMOND STREET,RICHMOND STREET,ETNA STREET,RIDGEWOOD AVENUE,3041150005.0,Street/Sidewalk,RICHMOND STREET,,,,,,,,,
61276402,2024-05-27T00:47:22.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,11220.0,6 AVENUE,7 AVENUE,ADDRESS,BROOKLYN,,In Progress,,2024-05-27T01:13:33.000,07 BROOKLYN,BROOKLYN,983188.0,174866.0,MOBILE,Unspecified,BROOKLYN,40.64664335794098,-74.00382698916638,"{'latitude': '40.64664335794098', 'longitude': '-74.00382698916638', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",18180.0,9.0,2.0,7.0,45.0,45.0,630 44 STREET,44 STREET,6 AVENUE,7 AVENUE,3007400018.0,Residential Building/House,44 STREET,,,,,,,,,
61273243,2024-05-27T00:47:13.000,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,11221.0,HART STREET,CEDAR STREET,ADDRESS,BROOKLYN,,In Progress,,2024-05-27T00:57:13.000,04 BROOKLYN,BROOKLYN,1004539.0,193553.0,PHONE,Unspecified,BROOKLYN,40.69791178661849,-73.92683097848253,"{'latitude': '40.69791178661849', 'longitude': '-73.92683097848253', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",18181.0,42.0,2.0,30.0,53.0,53.0,1260 MYRTLE AVENUE,MYRTLE AVENUE,HART STREET,CEDAR STREET,3032270031.0,Street/Sidewalk,MYRTLE AVENUE,SUV,,,,,,,,
61273240,2024-05-27T00:47:07.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,10032.0,FORT WASHINGTON AVENUE,RIVERSIDE DRIVE,ADDRESS,NEW YORK,,In Progress,,2024-05-27T00:57:10.000,12 MANHATTAN,MANHATTAN,999307.0,244152.0,MOBILE,Unspecified,MANHATTAN,40.83680331008733,-73.94558598899529,"{'latitude': '40.83680331008733', 'longitude': '-73.94558598899529', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",13090.0,47.0,4.0,23.0,21.0,21.0,655 WEST  160 STREET,WEST  160 STREET,FORT WASHINGTON AVENUE,RIVERSIDE DRIVE,1021360098.0,Street/Sidewalk,WEST  160 STREET,,,,,,,,,
61275375,2024-05-27T00:47:04.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,10452.0,HIGHBRIDGE PARK STAIRWAY,WEST  170 STREET,ADDRESS,BRONX,,In Progress,,2024-05-27T01:49:34.000,04 BRONX,BRONX,1004625.0,246035.0,PHONE,Unspecified,BRONX,40.84196092735583,-73.92636172613368,"{'latitude': '40.84196092735583', 'longitude': '-73.92636172613368', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",10930.0,50.0,5.0,42.0,27.0,27.0,1357 UNIVERSITY AVENUE,UNIVERSITY AVENUE,HIGHBRIDGE PARK STAIRWAY,WEST  170 STREET,,Street/Sidewalk,UNIVERSITY AVENUE,,,,,,,,,
61278511,2024-05-27T00:47:02.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,11433.0,105 AVENUE,107 AVENUE,ADDRESS,JAMAICA,,In Progress,,2024-05-27T01:23:28.000,12 QUEENS,QUEENS,1043734.0,195032.0,PHONE,Unspecified,QUEENS,40.70179462417971,-73.78546781911828,"{'latitude': '40.70179462417971', 'longitude': '-73.78546781911828', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",24668.0,41.0,3.0,6.0,61.0,61.0,105-11 171 PLACE,171 PLACE,105 AVENUE,107 AVENUE,4102410019.0,Street/Sidewalk,171 PLACE,,,,,,,,,
61273913,2024-05-27T00:46:59.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,10456.0,ST PAULS PLACE,EAST  171 STREET,ADDRESS,BRONX,,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2024-05-27T00:50:55.000,03 BRONX,BRONX,1010885.0,244212.0,ONLINE,Unspecified,BRONX,40.83694066292417,-73.90374441298103,"{'latitude': '40.83694066292417', 'longitude': '-73.90374441298103', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",10934.0,34.0,5.0,42.0,25.0,25.0,1465 WASHINGTON AVENUE,WASHINGTON AVENUE,ST PAULS PLACE,EAST  171 STREET,2029020036.0,Street/Sidewalk,WASHINGTON AVENUE,,2024-05-27T00:50:51.000,,,,,,,
61278610,2024-05-27T00:46:58.000,DSNY,Department of Sanitation,Dirty Condition,Trash,10040.0,WEST  191 STREET,WEST  192 STREET,ADDRESS,NEW YORK,,In Progress,,,12 MANHATTAN,MANHATTAN,1003662.0,251356.0,MOBILE,Unspecified,MANHATTAN,40.856567664593555,-73.92982674386413,"{'latitude': '40.856567664593555', 'longitude': '-73.92982674386413', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",13098.0,47.0,4.0,39.0,22.0,22.0,374 WADSWORTH AVENUE,WADSWORTH AVENUE,WEST  191 STREET,WEST  192 STREET,1021700260.0,Sidewalk,WADSWORTH AVENUE,,,,,,,,,
61275404,2024-05-27T00:46:25.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,11412.0,112 AVENUE,113 AVENUE,ADDRESS,SAINT ALBANS,,In Progress,,2024-05-27T01:34:04.000,12 QUEENS,QUEENS,1051486.0,195085.0,PHONE,Unspecified,QUEENS,40.70188459076956,-73.75750942803408,"{'latitude': '40.70188459076956', 'longitude': '-73.75750942803408', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",15312.0,41.0,3.0,6.0,71.0,71.0,112-17 198 STREET,198 STREET,112 AVENUE,113 AVENUE,,Residential Building/House,198 STREET,,,,,,,,,
